time,ax,ay,az,aT
7.9690,-0.1758,0.6952,0.6807,0.989
7.9880,-0.0652,1.0873,0.9133,1.421
8.0080,-0.4577,1.9487,0.4912,2.061
8.0280,-1.2934,2.0986,1.1908,2.738
8.0470,-1.4168,1.3288,2.6398,3.277
8.0660,-0.7302,0.8741,3.1424,3.342
8.0870,-0.0775,0.2458,3.2984,3.308
8.1050,-0.1541,0.2807,2.9170,2.935
8.1250,-0.6725,0.6264,3.0368,3.173
8.1450,-0.3129,0.2903,3.5662,3.592
8.1670,0.2211,-0.2982,3.5190,3.539
8.1940,0.0753,-0.7041,2.7847,2.873
8.2040,0.3305,-0.4117,2.1866,2.249
8.2210,0.1701,-0.2913,1.6523,1.686
8.2400,0.4218,-0.4636,0.3123,0.700
8.2600,0.2790,-0.9039,-0.3826,1.020
8.2800,-0.1876,-1.4152,-1.3807,1.986
8.3000,-0.1087,-1.4760,-2.3497,2.777
8.3210,-0.0705,-1.4345,-2.1064,2.549
8.3390,0.0262,-1.1364,-2.6134,2.850
8.3570,0.7896,-1.4321,-3.9453,4.271
8.3760,0.3603,-1.3063,-4.9014,5.085
8.3950,-0.6553,-0.3149,-5.6786,5.725
8.4210,-0.7472,-0.0779,-4.8308,4.889
8.4340,-0.7469,0.7124,-2.8443,3.026
8.4540,-1.1122,0.7878,-0.2025,1.378
8.4740,-1.4882,0.3831,1.2292,1.968
8.4920,-1.9305,0.1461,2.0306,2.806
8.5120,-1.1964,-0.1390,1.6308,2.027
8.5430,-1.6954,0.2930,3.2245,3.655
8.5510,-2.0834,0.8305,3.0290,3.769
8.5710,-1.3534,1.2362,1.9422,2.671
8.5980,-0.9795,1.4396,0.8659,1.945
8.6090,-1.3684,1.5562,0.9145,2.265
8.6280,-1.4991,0.7304,1.9771,2.586
8.6480,-1.5601,0.9263,3.0134,3.517
8.6670,-1.2173,0.6546,3.3941,3.665
8.6870,-1.0630,0.1842,4.1821,4.319
8.7070,-0.1761,-0.3894,4.2520,4.273
8.7320,1.9599,-1.6238,2.1420,3.327
8.7440,1.1325,-1.1096,1.2087,1.994
