time,ax,ay,az,aT
3.2520,-2.1837,-1.2746,-0.6500,2.611
3.2720,-2.9520,-1.2992,-2.3247,3.976
3.2920,-5.2262,1.1780,-9.7531,11.128
3.3110,-0.7211,0.3841,-2.2524,2.396
3.3350,1.3697,2.1211,4.4456,5.113
3.3830,1.3637,3.2187,2.6810,4.405
3.3840,-0.1865,4.2187,-4.0264,5.835
3.3900,0.1166,1.9422,-4.7175,5.103
3.4080,0.3887,0.9354,-2.5951,2.786
3.4280,1.0384,0.8574,1.2125,1.812
3.4470,0.3723,1.7786,4.4398,4.797
3.4660,-0.4496,1.2000,2.9160,3.185
3.4860,-0.1594,-1.0428,1.9721,2.237
3.5100,-0.1127,-0.5684,2.6936,2.755
3.5520,0.3881,0.0386,3.0372,3.062
3.5520,0.1415,-0.2570,1.8179,1.841
3.5630,-0.4703,0.4928,2.0822,2.191
3.5830,-0.7482,-0.3258,1.8185,1.993
3.6020,-2.0305,-1.5130,1.8045,3.109
3.6220,-1.7271,-2.3475,-2.4772,3.825
3.6430,-2.5454,0.3001,-4.6293,5.291
3.6850,-1.6062,-0.6666,-2.9849,3.455
3.6850,-0.8107,-0.8187,0.5422,1.273
3.6980,0.1858,0.1534,1.9586,1.973
3.7220,0.5961,-0.1728,2.0262,2.119
3.7640,0.0958,-0.1040,-0.6626,0.677
3.7640,-0.8055,1.2619,-3.8079,4.092
3.7760,-0.7161,2.9926,-1.9841,3.661
3.7960,0.1535,1.8347,1.6016,2.440
3.8150,0.1751,-0.0661,2.0063,2.015
3.8390,-0.4297,-0.4990,-0.3936,0.767
3.8850,-1.2323,0.1155,-3.3910,3.610
3.8860,-1.7081,1.3815,-4.2333,4.769
3.8920,-1.0679,2.5250,-2.7295,3.869
3.9120,-0.4347,2.2629,0.1207,2.307
3.9320,0.0426,1.1841,2.1596,2.463
3.9510,-0.1727,0.8007,2.6624,2.786
3.9720,-0.5786,0.5927,2.4818,2.616
4.0010,-1.1650,0.3720,2.1314,2.457
4.0100,-1.0083,-0.0605,2.0907,2.322
4.0290,-0.8339,-0.3210,2.8259,2.964
4.0490,-0.5101,-0.7253,3.7640,3.867
4.0680,0.1815,-0.1533,4.2548,4.261
4.0870,0.6643,0.2208,3.5382,3.607
4.1070,0.2838,1.0266,1.4623,1.809
4.1280,-0.5250,1.9183,-2.2796,3.025
4.1730,0.4178,1.6464,-0.6064,1.804
4.1740,1.5754,1.1320,2.1299,2.881
4.1830,1.3974,1.8271,2.6083,3.478
4.2030,0.9505,1.5758,1.5334,2.395
4.2230,0.3764,1.0814,1.3394,1.762
4.2420,0.1204,0.7472,1.6923,1.854
4.2620,0.1637,0.5520,2.5361,2.601
4.3050,0.3314,0.2899,2.2481,2.291
4.3060,1.3033,-0.3147,2.7500,3.059
4.3190,2.2952,-0.6786,0.7667,2.513
4.3410,2.1471,-0.0385,-1.4343,2.582
4.3860,1.4171,0.7398,-2.2708,2.777
4.3860,-0.1422,0.5933,-4.0702,4.116
4.3970,-1.3476,0.9265,-7.2025,7.386
4.4170,-1.0468,1.8360,-4.4566,4.932
4.4360,-0.3978,0.2801,-0.4682,0.675
4.4560,-0.6934,-1.5815,0.3415,1.760
4.4840,-1.1623,-2.3892,-1.4622,3.033
4.4940,-1.7756,-1.7337,-3.7452,4.493
4.5140,-1.7192,-0.6469,-2.3965,3.019
4.5330,-1.3789,0.0083,0.7443,1.567
4.5530,-1.3811,-0.4193,3.0304,3.357
4.5720,-1.2494,-0.9626,2.3937,2.867
4.5950,-1.6583,-0.4105,1.0037,1.981
4.6420,-1.6889,-0.0109,1.1907,2.066
4.6420,-1.4124,-0.0267,2.0298,2.473
4.6490,-0.8870,0.2358,2.9429,3.083
4.6680,0.1220,-0.0735,3.2638,3.267
4.6880,1.2260,-0.9444,3.2630,3.611
4.7080,2.1572,-1.8519,2.6363,3.877
4.7270,1.3927,-1.6805,-0.8956,2.359
4.7480,0.9007,-1.1007,-2.7309,3.079
4.7920,0.5382,0.3789,-3.0021,3.073
4.7930,0.0287,1.7367,-6.6899,6.912
4.8040,-0.6390,3.6063,-7.0199,7.918
4.8240,0.0409,3.1068,-3.3698,4.584
