time,ax,ay,az,aT
5.5230,-0.1463,0.8097,5.4027,5.465
5.5420,0.0203,0.5484,4.9905,5.021
5.5630,0.3387,0.2099,4.3280,4.346
5.5810,0.4225,0.1661,2.8981,2.933
5.6010,0.2249,0.0321,0.4994,0.549
5.6230,-0.3031,-0.3566,-2.3060,2.353
5.6710,-0.9644,-0.8382,-4.8792,5.044
5.6720,-1.9099,-1.4295,-7.4204,7.794
5.6770,-2.6509,-2.1654,-8.7508,9.396
5.6970,-3.2272,-2.4277,-8.8784,9.754
5.7170,-3.1567,-1.9483,-7.6289,8.483
5.7370,-2.7919,-1.2667,-4.7397,5.645
5.7670,-1.9153,-1.5810,-2.1848,3.308
5.7750,-1.6906,-2.1122,-2.5567,3.722
5.7940,-3.2383,-1.1672,-3.9205,5.217
5.8140,-3.4980,-0.7807,-2.4663,4.351
5.8340,-3.0781,-1.0579,0.9009,3.377
5.8530,-2.3527,-1.7819,4.2320,5.159
5.8720,-1.5851,-2.2177,5.5664,6.198
5.8940,-1.7064,-1.7562,4.2882,4.938
5.9340,-2.0510,0.1196,0.9079,2.246
5.9340,-1.8969,1.4022,-0.9929,2.559
5.9490,-1.3265,2.2841,-0.5603,2.700
5.9680,-0.7789,2.5557,1.7543,3.196
5.9890,0.0577,2.0997,3.4772,4.062
6.0090,0.3038,1.5179,3.9400,4.233
6.0280,0.3816,1.1048,3.5542,3.741
6.0460,0.5486,0.6645,3.6336,3.734
6.0670,0.9505,0.3621,3.8034,3.937
6.0850,1.2572,0.4722,3.8392,4.067
6.1050,1.6122,0.6482,3.7191,4.105
6.1290,1.7238,0.8739,3.1682,3.711
6.1430,1.7751,0.9985,2.6313,3.327
6.1640,1.5522,1.0273,2.0468,2.767
6.1830,1.2690,0.9636,1.3769,2.106
6.2030,1.0274,0.8638,0.3836,1.396
6.2210,0.7753,0.6161,-0.3067,1.037
6.2410,0.6233,0.7286,-0.7185,1.198
6.2730,0.5867,0.8037,-0.4461,1.090
6.2790,0.4310,0.3354,-0.1130,0.558
6.2980,0.2635,-0.4387,-0.1151,0.525
6.3180,0.0613,-0.6523,-0.2556,0.703
6.3370,-0.1963,-0.9442,-0.4153,1.050
6.3570,-0.9503,-1.3888,-0.8856,1.902
6.3900,-1.6442,-1.8275,-1.5409,2.901
6.3960,-2.2392,-1.6432,-2.4321,3.692
6.4150,-2.6245,-1.0708,-3.9557,4.866
6.4350,-2.9813,0.0587,-5.2453,6.034
6.4540,-2.7595,1.1237,-4.1265,5.090
6.4740,-2.5020,1.7435,-2.9704,4.257
6.5130,-2.3290,2.1613,-3.1333,4.462
6.5130,-1.6884,2.3147,-2.8250,4.024
6.5310,-0.8991,2.4988,-2.2328,3.470
6.5510,-0.1673,2.6392,-1.7770,3.186
6.5700,0.8681,2.8175,-1.4719,3.295
6.5900,1.6019,3.3236,-0.6877,3.753
6.6230,1.7815,3.5082,0.3253,3.948
6.6280,2.0068,3.2860,0.1447,3.853
6.6470,1.6324,3.2793,-0.7643,3.742
6.6670,0.8965,3.0053,-1.7221,3.578
6.6870,0.2438,3.0168,-3.2919,4.472
6.7210,0.3070,3.4160,-3.9758,5.251
6.7260,0.9331,4.2475,-3.0831,5.331
6.7450,2.0137,4.3434,-0.8128,4.856
6.7640,2.7836,3.9542,0.8610,4.912
6.7840,3.2797,3.3593,0.6077,4.734
6.8040,2.9770,2.9679,-0.9500,4.310
6.8230,2.6708,2.3017,-2.0649,4.086
6.8570,2.4576,1.8922,-2.8455,4.209
6.8610,1.9848,1.9544,-3.7211,4.648
6.8800,1.3978,2.0491,-4.1017,4.793
6.9000,1.1687,1.9855,-2.9806,3.767
6.9190,1.2655,1.9220,-1.0473,2.528
6.9390,1.2343,1.7443,0.3208,2.161
6.9590,1.4129,1.3545,1.2812,2.339
6.9940,1.5514,1.5441,1.6286,2.728
6.9990,1.4465,2.1355,1.5205,2.994
7.0160,1.4710,2.2244,1.8550,3.248
7.0350,1.4008,1.9983,1.7846,3.023
7.0550,1.2634,1.4164,1.1801,2.235
7.0740,0.7210,1.2892,0.5445,1.574
7.0940,0.3317,0.9510,0.7770,1.272
7.1270,-0.1368,0.7731,0.5900,0.982
7.1330,-0.9809,0.7504,-1.6328,2.047
7.1510,-1.9381,1.4666,-5.0319,5.588
7.1710,-2.8588,2.4231,-5.6115,6.748
7.1910,-3.3519,2.5225,-3.2661,5.317
7.2110,-2.0340,0.5585,0.1025,2.112
7.2300,-0.9609,-0.7891,0.8380,1.499
7.2610,-1.5356,-0.0810,-2.7875,3.184
7.2680,-2.1490,1.0978,-6.2649,6.714
7.2880,-1.5291,1.7981,-5.7476,6.213
7.3070,-0.7727,2.6176,-2.3110,3.576
7.3270,0.0875,2.5613,1.2179,2.837
7.3460,0.8566,1.9037,2.9876,3.645
7.3720,0.6225,2.1352,1.8753,2.909
7.4130,-0.0964,2.8628,-0.1467,2.868
7.4140,-0.8440,3.3748,-1.2283,3.689
7.4240,-0.9918,3.4044,-0.9621,3.674
7.4430,-0.7955,3.1858,-0.2154,3.291
7.4620,-0.3952,2.7287,0.0574,2.758
7.4820,-0.0348,2.2786,-0.1414,2.283
7.5180,0.2522,2.1769,-0.2914,2.211
7.5200,0.5251,2.0829,-0.0701,2.149
7.5400,0.7476,1.9437,0.5225,2.147
7.5590,0.9468,1.7297,1.2338,2.326
7.5790,0.9270,1.7103,1.7640,2.626
7.5980,0.6532,1.6915,2.0969,2.772
7.6320,0.2960,1.1319,1.9744,2.295
7.6370,-0.0042,0.7561,1.7083,1.868
7.6560,-0.0781,0.5105,1.7263,1.802
7.6760,0.0001,0.2521,2.0376,2.053
7.6950,0.2249,0.1917,2.1116,2.132
7.7140,0.2408,0.3190,1.6994,1.746
7.7340,0.1056,0.1410,0.5139,0.543
7.7710,-0.2878,0.0488,-0.7141,0.771
7.7720,-0.2398,0.0992,-1.3086,1.334
7.7920,0.0084,-0.2159,-1.8324,1.845
7.8110,-0.0194,-0.3348,-2.9855,3.004
7.8310,0.0395,-0.1474,-3.8452,3.848
7.8500,0.4540,-0.0250,-4.1743,4.199
7.8700,0.5731,-0.1182,-4.4030,4.442
7.8970,0.2405,-0.1495,-4.1462,4.156
7.9080,-0.6060,-0.1925,-4.3847,4.431
7.9270,-1.3551,0.0282,-6.4398,6.581
7.9480,-2.1043,0.9696,-8.9159,9.212
7.9660,-2.1245,2.7297,-6.9585,7.771
7.9860,0.0368,2.4741,-1.1486,2.728
8.0060,1.3860,1.8097,2.9721,3.746
8.0360,2.2152,1.0908,3.8360,4.562
8.0440,1.8206,1.2674,2.3419,3.226
8.0630,1.6646,1.4296,1.3539,2.578
8.0830,1.6459,1.6875,1.3710,2.727
8.1020,1.7025,1.9536,1.8678,3.194
8.1270,1.6560,2.1371,2.3139,3.559
8.1770,1.4849,2.1439,2.2955,3.474
8.1770,1.1781,1.8280,2.0741,3.005
8.1790,1.0234,1.4605,2.3917,2.983
8.1990,1.1470,1.2314,3.0033,3.443
8.2190,1.0378,1.2212,3.5437,3.889
8.2380,1.0308,1.1198,3.9385,4.222
8.2580,0.8497,0.7557,3.8068,3.973
8.2890,0.5587,0.2091,2.5994,2.667
8.2960,0.2488,-0.0988,0.8476,0.889
8.3150,-0.1506,-0.2974,-0.9831,1.038
8.3350,-0.5436,-0.1936,-2.2610,2.333
8.3550,-0.7096,0.0762,-2.6858,2.779
8.3780,-0.7182,0.1642,-2.6685,2.768
8.4220,-0.8488,-0.0774,-2.8904,3.013
8.4220,-1.3985,-0.5496,-3.7009,3.994
8.4310,-2.0979,-1.1358,-4.0746,4.722
8.4520,-2.2927,-1.6421,-4.7926,5.561
8.4700,-2.2143,-1.2383,-5.1195,5.714
8.4910,-1.6503,0.2222,-4.3421,4.650
8.5100,-0.8010,1.6945,-2.7345,3.315
8.5300,-0.3518,2.5136,-0.8797,2.686
8.5780,-0.0162,2.2409,0.7775,2.372
8.5780,-0.0205,1.5442,0.7888,1.734
8.5860,0.2217,1.2816,0.2410,1.323
8.6070,0.4510,1.5825,0.2182,1.660
8.6260,1.0011,1.8746,1.0402,2.366
8.6470,1.4487,1.9842,1.8051,3.049
8.6660,1.5380,1.9723,1.9846,3.193
8.6850,1.3972,1.7206,1.5799,2.722
8.7260,1.3768,1.4944,1.3572,2.444
8.7270,1.5379,1.5050,1.8877,2.862
8.7410,1.7483,1.3728,2.6820,3.483
8.7620,1.7612,1.2286,3.2892,3.928
8.7810,1.7356,1.0870,3.5967,4.139
8.8010,1.6362,0.7765,3.2490,3.720
8.8210,1.4243,0.6884,2.6716,3.105
8.8650,1.4050,0.5073,2.2909,2.735
8.8650,1.3486,0.2999,1.9416,2.383
8.8770,1.2899,0.0182,1.2618,1.805
8.8970,0.8663,-0.6386,-0.2246,1.099
8.9170,0.3447,-1.2003,-2.2408,2.565
8.9560,-0.1225,-1.3340,-4.4859,4.682
8.9560,-0.5229,-1.1737,-6.1155,6.249
8.9740,-0.6329,-0.8513,-6.5942,6.679
8.9940,-0.4495,-0.7652,-5.6790,5.748
9.0180,-0.2600,-0.9151,-4.5556,4.654
9.0610,-0.7466,-0.7509,-4.5373,4.659
9.0620,-1.4811,-0.2120,-6.2290,6.406
9.0710,-1.8643,0.5699,-7.2260,7.484
9.0910,-1.3620,1.2131,-4.7273,5.067
9.1110,-0.3008,1.1542,-1.0914,1.617
9.1300,0.3638,0.9514,1.1865,1.564
9.1580,0.5133,0.8225,1.5870,1.860
9.1680,0.1294,1.1140,0.7462,1.347
9.1880,0.1652,1.4865,0.8149,1.703
9.2080,0.5034,1.8238,1.9441,2.713
9.2280,0.8796,1.9927,3.0745,3.768
9.2610,1.1727,2.0669,3.6374,4.345
9.2670,1.1555,2.1462,3.6147,4.360
9.2870,0.8902,2.2243,3.1672,3.971
9.3050,0.7581,2.2005,3.3638,4.090
9.3240,0.8581,1.8820,3.8389,4.361
9.3430,0.7433,1.5119,3.9474,4.292
9.3630,0.7957,1.1218,3.9288,4.163
9.3830,0.7494,0.9275,3.4779,3.677
9.4140,0.3666,0.6637,2.4739,2.587
9.4200,-0.4631,0.3831,0.9614,1.134
9.4400,-1.3516,0.0485,-0.6720,1.510
9.4600,-2.0040,-0.4268,-2.8077,3.476
9.4800,-2.6245,-0.4245,-4.6908,5.392
9.5150,-3.0580,-0.2179,-5.4312,6.237
9.5170,-3.0721,-0.3768,-5.2609,6.104
9.5380,-3.0163,-0.7503,-5.0680,5.945
9.5570,-2.5290,-1.0491,-4.9477,5.655
9.5770,-1.9962,-0.8470,-4.6516,5.132
9.5950,-1.1303,-0.3396,-4.4100,4.565
9.6150,-0.6405,0.4404,-4.4918,4.559
9.6470,-0.4385,1.1967,-3.6810,3.895
9.6530,-0.5105,1.9926,-1.8443,2.763
9.6730,0.2411,1.7089,0.3788,1.767
9.6930,0.9892,1.1374,1.4691,2.105
9.7120,1.1261,0.6249,2.4029,2.726
9.7310,1.3448,0.8463,2.3740,2.857
9.7580,1.5967,0.9346,2.2954,2.948
9.7840,1.9655,1.2679,2.9027,3.728
9.7890,2.2471,1.6440,2.9380,4.048
9.8090,2.1745,2.0302,2.7478,4.050
9.8300,1.9391,2.2470,2.3338,3.776
9.8480,1.8268,2.0384,2.6004,3.776
9.8670,1.8479,1.6572,2.7910,3.735
9.8880,1.9395,1.3886,2.7785,3.662
9.9220,2.0199,1.4251,2.7864,3.725
9.9250,2.1922,1.3686,2.9369,3.912
9.9450,2.2154,1.2700,2.7226,3.733
9.9640,2.1252,1.0698,1.7932,2.979
9.9830,2.0456,0.8775,0.9105,2.405
10.0030,1.9877,0.6365,0.0239,2.087
10.0230,1.6571,0.4952,-1.0874,2.043
10.0420,1.2208,0.1862,-2.5986,2.877
10.0860,0.4339,-0.1547,-4.2059,4.231
10.0860,-0.5400,-0.6593,-5.8372,5.899
10.0990,-1.1027,-0.9318,-6.2933,6.457
10.1200,-0.7147,-1.0858,-5.5750,5.725
10.1390,-0.6199,-1.0343,-5.1508,5.290
10.1580,-1.3267,-0.7853,-6.4201,6.603
10.1780,-1.8657,-0.2114,-7.9053,8.125
10.2190,-2.0381,0.9798,-6.8465,7.210
10.2190,-0.9081,0.9435,-2.6152,2.925
10.2350,0.0350,0.4591,0.5054,0.684
10.2580,0.3036,0.2222,0.8700,0.948
10.2740,-0.0232,0.3263,0.3408,0.472
10.2940,0.0199,0.6105,0.5665,0.833
10.3140,0.4475,0.9244,1.9609,2.214
10.3560,0.8573,1.1912,3.2202,3.539
10.3560,1.2216,1.4028,3.7063,4.147
10.3710,1.2406,1.4450,3.7081,4.169
10.3900,1.0469,1.5698,3.3968,3.886
10.4110,0.9489,1.6108,3.2693,3.766
10.4300,0.9475,1.5345,3.3234,3.781
10.4490,0.9196,1.4972,3.4706,3.890
10.4870,1.0028,1.3963,3.5698,3.962
10.4880,0.8532,1.0200,3.4232,3.672
10.5070,0.3905,0.7199,2.6728,2.796
10.5290,-0.2170,0.6629,1.7151,1.851
10.5460,-0.8104,0.3851,0.7510,1.170
10.5650,-1.3786,0.1443,-0.6413,1.527
